Kraj,Sprzedawca,Data zamowienia,idZamowienia,Utarg
Niemcy,Callahan,2004-01-16,10380,1313.82
Niemcy,Fuller,2004-01-01,10392,1440.0
Niemcy,Davolio,2004-01-03,10393,2556.95
Niemcy,Davolio,2004-01-03,10394,442.0
Polska,Sowiński,2004-01-03,10395,2122.92
Niemcy,Davolio,2004-01-06,10396,1903.8
Polska,Kowalski,2004-01-02,10397,716.72
Niemcy,Fuller,2004-01-09,10398,2505.6
Niemcy,Callahan,2004-01-08,10399,1765.6
Niemcy,Davolio,2004-01-16,10400,3063.0
Niemcy,Davolio,2004-01-10,10401,3868.6
Niemcy,Callahan,2004-01-10,10402,2713.5
Niemcy,Peacock,2004-01-09,10403,855.01
Niemcy,Fuller,2004-01-08,10404,1591.25
Niemcy,Davolio,2004-01-22,10405,400.0
Polska,King,2004-01-13,10406,1830.78
Niemcy,Fuller,2004-01-30,10407,1194.0
Niemcy,Callahan,2004-01-14,10408,1622.4
Niemcy,Leverling,2004-01-14,10409,319.2
Niemcy,Leverling,2004-01-15,10410,802.0
Polska,Dudek,2004-01-21,10411,966.8
Niemcy,Callahan,2004-01-15,10412,334.8
Niemcy,Leverling,2004-01-16,10413,2123.2
Niemcy,Fuller,2004-01-17,10414,224.83
Niemcy,Leverling,2004-01-24,10415,102.4
Niemcy,Callahan,2004-01-27,10416,720.0
Niemcy,Peacock,2004-01-28,10417,11188.4
Niemcy,Peacock,2004-01-24,10418,1814.8
Niemcy,Peacock,2004-01-30,10419,2097.6
Niemcy,Leverling,2004-01-27,10420,1707.84
Niemcy,Callahan,2004-01-27,10421,1194.27
Niemcy,Fuller,2004-01-31,10422,49.8
Polska,Sowiński,2004-02-24,10423,1020.0
Polska,King,2004-01-27,10424,9194.56
Polska,Sowiński,2004-02-14,10425,360.0
Niemcy,Peacock,2004-02-06,10426,338.2
Niemcy,Peacock,2004-03-03,10427,651.0
Polska,King,2004-02-04,10428,192.0
Niemcy,Leverling,2004-02-07,10429,1441.37
Niemcy,Peacock,2004-02-03,10430,4899.2
Niemcy,Peacock,2004-02-07,10431,1892.25
Niemcy,Leverling,2004-02-07,10432,485.0
Niemcy,Leverling,2004-03-04,10433,851.2
Niemcy,Leverling,2004-02-13,10434,321.12
Niemcy,Callahan,2004-02-07,10435,631.6
Niemcy,Leverling,2004-02-11,10436,1994.52
Niemcy,Callahan,2004-02-12,10437,393.0
Niemcy,Leverling,2004-02-14,10438,454.0
Polska,Sowiński,2004-02-10,10439,1078.0
Niemcy,Peacock,2004-02-28,10440,4924.13
Niemcy,Leverling,2004-03-14,10441,1755.0
Niemcy,Leverling,2004-02-18,10442,1792.0
Niemcy,Callahan,2004-02-14,10443,517.44
Niemcy,Leverling,2004-02-21,10444,1031.7
Niemcy,Leverling,2004-02-20,10445,174.9
Polska,Sowiński,2004-02-19,10446,246.24
Niemcy,Peacock,2004-03-07,10447,914.4
Niemcy,Peacock,2004-02-24,10448,443.4
Niemcy,Leverling,2004-02-27,10449,1838.2
Niemcy,Callahan,2004-03-11,10450,425.12
Niemcy,Peacock,2004-03-12,10451,3849.66
Niemcy,Callahan,2004-02-26,10452,2018.5
Niemcy,Davolio,2004-02-26,10453,407.7
Niemcy,Peacock,2004-02-25,10454,331.2
Niemcy,Callahan,2004-03-03,10455,2684.0
Niemcy,Callahan,2004-02-28,10456,557.6
Niemcy,Fuller,2004-03-03,10457,1584.0
Polska,King,2004-03-04,10458,3891.0
Niemcy,Peacock,2004-02-28,10459,1659.2
Niemcy,Callahan,2004-03-03,10460,176.1
Niemcy,Davolio,2004-03-05,10461,1538.7
Niemcy,Fuller,2004-03-18,10462,156.0
Polska,Kowalski,2004-03-06,10463,713.3
Niemcy,Peacock,2004-03-14,10464,1609.28
Niemcy,Davolio,2004-03-14,10465,2518.0
Niemcy,Peacock,2004-03-13,10466,216.0
Niemcy,Callahan,2004-03-11,10467,235.2
Niemcy,Leverling,2004-03-12,10468,717.6
Niemcy,Davolio,2004-03-14,10469,956.67
Niemcy,Peacock,2004-03-14,10470,1820.8
Niemcy,Fuller,2004-03-18,10471,1328.0
Niemcy,Callahan,2004-03-19,10472,1036.8
Niemcy,Davolio,2004-03-21,10473,230.4
Polska,Kowalski,2004-03-21,10474,1249.1
Polska,Dudek,2004-04-04,10475,1505.18
Niemcy,Callahan,2004-03-24,10476,180.48
Polska,Kowalski,2004-03-25,10477,558.0
Niemcy,Fuller,2004-03-26,10478,471.2
Niemcy,Leverling,2004-03-21,10479,10495.6
Polska,Sowiński,2004-03-24,10480,756.0
Niemcy,Callahan,2004-03-25,10481,1472.0
Niemcy,Davolio,2004-04-10,10482,147.0
Polska,King,2004-04-25,10483,668.8
Niemcy,Leverling,2004-04-01,10484,386.2
Niemcy,Peacock,2004-03-31,10485,1584.0
Niemcy,Davolio,2004-04-02,10486,1272.0
Niemcy,Fuller,2004-03-28,10487,889.7
Niemcy,Callahan,2004-04-02,10488,1512.0
Polska,Sowiński,2004-04-09,10489,439.2
Polska,King,2004-04-03,10490,3163.2
Niemcy,Callahan,2004-04-08,10491,259.5
Niemcy,Leverling,2004-04-11,10492,851.2
Niemcy,Peacock,2004-04-10,10493,608.4
Niemcy,Peacock,2004-04-09,10494,912.0
Niemcy,Leverling,2004-04-11,10495,278.0
Polska,King,2004-04-07,10496,190.0
Polska,King,2004-04-07,10497,1380.6
Niemcy,Callahan,2004-04-11,10498,575.0
Niemcy,Peacock,2004-04-16,10499,1412.0
Polska,Sowiński,2004-04-17,10500,523.26
Polska,Dudek,2004-04-16,10501,149.0
